filename,psnr,ssim,mae
kodim01.png,29.0460,0.849877,0.027056
kodim02.png,31.1782,0.764986,0.020256
kodim03.png,31.9674,0.821019,0.018525
kodim04.png,31.4374,0.816652,0.019812
kodim05.png,29.1544,0.878556,0.026488
kodim06.png,29.9295,0.841541,0.023690
kodim07.png,32.1873,0.891309,0.017751
kodim08.png,28.7833,0.875002,0.027663
kodim09.png,32.5056,0.859835,0.017069
kodim10.png,32.4183,0.850874,0.017485
kodim11.png,30.5928,0.818504,0.021839
kodim12.png,32.1609,0.813887,0.018223
kodim13.png,27.7323,0.837243,0.031652
kodim14.png,29.4277,0.822741,0.025627
kodim15.png,30.7724,0.807964,0.021218
kodim16.png,31.6170,0.833713,0.019392
kodim17.png,32.0760,0.859740,0.018227
kodim18.png,29.4917,0.832904,0.024740
kodim19.png,30.9038,0.836691,0.020850
kodim20.png,31.6208,0.845948,0.017992
kodim21.png,30.4924,0.855730,0.021336
kodim22.png,30.3235,0.801195,0.022770
kodim23.png,31.7933,0.829657,0.019097
kodim24.png,29.5327,0.854177,0.023571
