filename,psnr,ssim,mae
100007.jpg,30.6466,0.778890,0.022707
100039.jpg,27.4100,0.852137,0.032392
100099.jpg,29.9079,0.747630,0.023453
10081.jpg,30.0508,0.768061,0.023583
101027.jpg,27.7337,0.774632,0.031087
101084.jpg,25.8436,0.815032,0.038186
102062.jpg,26.6021,0.841440,0.035172
103006.jpg,27.9489,0.856210,0.030068
103029.jpg,31.0412,0.780331,0.021532
103078.jpg,28.6842,0.818592,0.027888
104010.jpg,28.6336,0.810601,0.028403
104055.jpg,29.5961,0.752964,0.024689
105027.jpg,29.3530,0.792390,0.025829
106005.jpg,31.2716,0.811622,0.021108
106047.jpg,30.9027,0.835079,0.021916
107014.jpg,28.9169,0.783682,0.026378
107045.jpg,28.1419,0.815659,0.029855
107072.jpg,27.8562,0.798050,0.030809
108004.jpg,26.8277,0.811358,0.035592
108036.jpg,28.2527,0.843733,0.029296
108069.jpg,28.5643,0.866551,0.027781
109055.jpg,28.8687,0.844866,0.026662
112056.jpg,30.8601,0.763115,0.021215
112090.jpg,28.4587,0.798841,0.029194
117025.jpg,28.0596,0.800014,0.029947
118015.jpg,28.0076,0.789257,0.029746
118031.jpg,28.1254,0.792728,0.029472
118072.jpg,28.4365,0.795664,0.027828
120003.jpg,30.8217,0.790548,0.021627
120093.jpg,27.5566,0.800171,0.029209
123057.jpg,29.6329,0.800402,0.024622
128035.jpg,29.1683,0.772212,0.024750
130014.jpg,29.2628,0.796745,0.026054
130066.jpg,28.6297,0.771554,0.027747
134049.jpg,27.5101,0.854223,0.032343
134067.jpg,27.1705,0.893500,0.033309
140006.jpg,28.2465,0.767413,0.029061
140088.jpg,29.8031,0.744744,0.023526
14085.jpg,28.5751,0.797864,0.027975
14092.jpg,28.6543,0.792212,0.028517
141012.jpg,26.9906,0.865572,0.033745
141048.jpg,27.6886,0.764300,0.031277
145059.jpg,27.5056,0.835386,0.029945
145079.jpg,27.3015,0.813904,0.031677
